name,roomid
ghTower,41966
chpWest,78606
ssChef,10315
wdFountain,10692
aFlea,4842
sTocc,46122
chpEast,78589
sBank,45963
wgShalush,829
ashInn,87308
sZioni,46015
tr,72052
wgArmor,834
Ribcage,47737
mSilk,46289
wgNature,595
sKurop,46134
sToriani,45968
sAltar,46136
sManager,45988
wgWestgate,532
sKarak,45881
VT,3837
pseudodragon,46220
Ghore,11957
wdEplease,18940
chpCenter,78608
ssExit,10269
wdBank,10703
smLeather,806
sElite,46040
Cali,3975
CM,16780
Underm,70878
sDragons,46208
Elfgate,48775
infantry,46221
h3,46756
TiaEnt1,82015
sOld,45874
mArmor,46329
wgBank,825
chpKing,78677
wdPlease,18940
wgHorse,539
h1,43258
wgShopsN,832
sFountain,45966
ashBank,87415
chpC,78610
wgFountain,279
bgTower,3126
sMage,46184
ssRaynard,10289
sWeapon,46003
smBank,84203
cdEntrance,2280
3West,10697
ssEnt,17732
h2,85996
sKorir,46141
sDrow,45931
sVeg,46183
wgScrolls,838
sInn,45965
wgInn,327
wdAuction,10630
ashLea,87454
wdDeadOrc,10625
smInn,48603
TP,18940
